episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
146,-0.39327046,14.50070659,1,22,0.01452987,0.48344459,0.08061492,8815,9314,65.0874
147,-0.64622244,7.65780878,1,36,0.00327704,0.48102737,0.06926730,8851,9350,65.3160
148,-0.02101872,21.16819395,1,16,0.02164979,0.47862223,0.08083918,8867,9366,65.4143
149,0.05063058,17.53745737,1,12,0.00179472,0.47622912,0.07057280,8879,9378,65.4948
150,0.75614600,1.85353919,1,38,0.00255035,0.47384798,0.07423216,8917,9416,65.7226
151,0.25446987,15.80625798,1,19,0.01055310,0.47147874,0.06443934,8936,9435,65.8434
152,0.00961583,20.28950666,1,27,0.00128190,0.46912134,0.06666574,8963,9462,66.0260
153,0.58356690,17.68655003,1,34,0.00267275,0.46677574,0.05832909,8997,9496,66.2345
154,-0.74503938,9.87785077,1,27,0.00234723,0.46444186,0.07663439,9024,9523,66.4139
155,0.61126734,20.19021415,1,43,0.00439657,0.46211965,0.07467355,9067,9566,66.6850
156,0.69530582,11.09421026,1,24,0.00648919,0.45980905,0.08526847,9091,9590,66.8533
157,0.47773750,10.98001057,1,34,0.00415690,0.45751001,0.07789512,9125,9624,67.1599
158,0.27830180,16.79630352,1,27,0.00234935,0.45522246,0.07709033,9152,9651,67.5125
159,0.23493463,16.18094534,1,17,0.00068084,0.45294634,0.06540336,9169,9668,67.8256
160,0.78517399,9.57070254,1,27,0.00037381,0.45068161,0.07221558,9196,9695,68.5819
161,-0.24594000,14.90485876,1,22,0.01754970,0.44842820,0.07994441,9218,9717,68.9813
162,0.44950888,18.18703410,1,31,0.00265235,0.44618606,0.06491884,9249,9748,69.4461
163,0.05829615,17.50929189,1,9,0.00682067,0.44395513,0.11205649,9258,9757,69.5314
164,0.65309698,5.44428594,1,42,0.01491548,0.44173536,0.07147752,9300,9799,69.8752
165,0.57921505,12.17199166,1,25,0.00889613,0.43952668,0.07226490,9325,9824,70.0413
166,-0.35798944,15.58035749,1,17,0.00904054,0.43732905,0.10519102,9342,9841,70.1505
167,0.72675547,11.49588070,1,23,0.01090475,0.43514240,0.09632756,9365,9864,70.3059
168,-0.34392800,20.27006046,1,26,0.00223118,0.43296669,0.07570617,9391,9890,70.4768
169,0.35500649,21.24523280,1,42,0.00030937,0.43080186,0.07211357,9433,9932,70.7473
170,-0.08526263,17.00000518,1,16,0.00394194,0.42864785,0.07075447,9449,9948,70.8518
171,0.11608945,17.06435978,1,14,0.01437524,0.42650461,0.07324245,9463,9962,70.9844
172,0.24137709,16.57866063,1,15,0.02892912,0.42437208,0.07627434,9478,9977,71.1264
173,-0.64879108,11.52869239,1,46,0.00885840,0.42225022,0.07775722,9524,10023,71.5236
