episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
118,0.49590573,13.32700876,1,22,0.00150368,0.17062355,0.06652447,5454,5953,40.9872
119,0.08735987,17.61240103,1,11,0.00153049,0.16806419,0.06080634,5465,5964,41.0555
120,-0.05022463,17.58004117,1,10,0.01455550,0.16554323,0.05590459,5475,5974,41.1110
121,-0.68525151,12.23878042,1,21,0.01192158,0.16306008,0.07285052,5496,5995,41.2340
122,0.49062578,14.57898218,1,19,0.00123206,0.16061418,0.07782960,5515,6014,41.3506
123,-0.68313555,12.35589628,1,20,0.00601715,0.15820497,0.07747178,5535,6034,41.4998
124,-0.05970927,17.63677110,1,9,0.01562052,0.15583189,0.06937098,5544,6043,41.5547
125,0.34598603,15.86379426,1,16,0.00698613,0.15349442,0.05911144,5560,6059,41.6527
126,-0.61495309,11.03483510,1,24,0.00767348,0.15119200,0.04940866,5584,6083,41.8062
127,-0.36764067,15.83537275,1,16,0.01248054,0.14892412,0.05351542,5600,6099,41.9026
128,-0.03759965,17.81803851,1,8,0.00278882,0.14669026,0.07327709,5608,6107,41.9664
129,0.45986960,14.90844429,1,19,0.00083997,0.14448990,0.07738824,5627,6126,42.0818
130,-0.63600907,11.98319155,1,23,0.02557677,0.14232256,0.05149182,5650,6149,42.2269
131,-0.52763299,14.28450511,1,19,0.00842199,0.14018772,0.05016036,5669,6168,42.4085
132,-0.69070974,15.49903621,1,31,0.02472404,0.13808490,0.05260273,5700,6199,42.7189
133,0.67320188,10.95476327,1,25,0.00805896,0.13601363,0.05982328,5725,6224,42.9545
134,0.10124802,17.64647180,1,11,0.00322439,0.13397342,0.06271546,5736,6235,43.0605
135,0.65407451,12.64939359,1,22,0.01140792,0.13196382,0.06824275,5758,6257,43.2577
136,-0.02240328,17.80006805,1,8,0.00378228,0.12998437,0.06835946,5766,6265,43.3316
137,0.41732411,15.51672284,1,17,0.00323247,0.12803460,0.05669064,5783,6282,43.4943
138,0.66891125,11.27160009,1,24,0.00183185,0.12611408,0.05198521,5807,6306,43.6673
139,0.12169016,17.34395929,1,11,0.00906912,0.12422237,0.05555352,5818,6317,43.7422
140,0.45796682,14.94544197,1,18,0.00618987,0.12235903,0.05551142,5836,6335,43.8803
141,-0.53443635,14.17093028,1,20,0.01452946,0.12052365,0.05399655,5856,6355,44.0331
142,0.72231445,14.68470447,1,29,0.00054071,0.11871579,0.05752596,5885,6384,44.2665
143,-0.77154935,10.86272097,1,23,0.00211421,0.11693506,0.05621030,5908,6407,44.4011
144,-0.44867504,16.79779099,1,21,0.02638455,0.11518103,0.04878792,5929,6428,44.5173
145,0.07560709,17.59024603,1,10,0.00014014,0.11345332,0.06190849,5939,6438,44.5927
146,-0.39327046,15.52072042,1,16,0.01612290,0.11175152,0.05472461,5955,6454,44.6916
147,-0.64622244,13.95632675,1,27,0.01234102,0.11007524,0.05019330,5982,6481,44.8708
148,-0.02101872,17.83185026,1,8,0.02101872,0.10842411,0.04917853,5990,6489,44.9355
149,0.05063058,17.72289227,1,9,0.00462181,0.10679775,0.04745366,5999,6498,44.9890
150,0.75614600,10.65329724,1,24,0.00016387,0.10519579,0.07385185,6023,6522,45.1236
151,0.25446987,16.76895845,1,15,0.00358991,0.10361785,0.06103776,6038,6537,45.2208
152,0.00961583,17.92307334,1,8,0.00961583,0.10206358,0.07331235,6046,6545,45.2677
153,0.58356690,13.63122909,1,20,0.00792302,0.10053263,0.05647876,6066,6565,45.3871
154,-0.74503938,11.49080672,1,22,0.00329107,0.09902464,0.05456577,6088,6587,45.5092
155,0.61126734,13.27029224,1,21,0.00001430,0.09753927,0.04893448,6109,6608,45.6322
156,0.69530582,12.33003596,1,22,0.00343358,0.09607618,0.04397294,6131,6630,45.7679
157,0.47773750,14.88593838,1,19,0.00510200,0.09463504,0.04558347,6150,6649,45.8824
158,0.27830180,16.45569332,1,16,0.00540118,0.09321551,0.05260207,6166,6665,45.9786
159,0.23493463,16.89893619,1,14,0.00431106,0.09181728,0.04738180,6180,6679,46.0675
