simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
1.392000,-0.800000,-0.876741,-0.183202,0.076741,0.262635
1.402000,-0.800000,-0.878394,-0.152378,0.078394,0.241144
1.412000,-0.800000,-0.877023,0.521851,0.077023,-0.798072
1.422000,-0.800000,-0.869768,0.717116,0.069768,-1.737441
1.432000,-0.800000,-0.864315,0.427354,0.064315,-1.035794
1.442000,-0.800000,-0.861255,0.240637,0.061255,-0.407805
1.452000,-0.800000,-0.859529,0.136936,0.059529,-0.041738
1.462000,-0.800000,-0.860666,-0.227974,0.060666,0.679729
1.472000,-0.800000,-0.861952,-0.020506,0.061952,0.205244
1.482000,-0.800000,-0.859746,0.386605,0.059746,-0.965622
1.492000,-0.800000,-0.853686,0.740413,0.053686,-1.971004
1.502000,-0.800000,-0.905344,-10.267021,0.105344,15.354505
1.512000,-0.800000,-1.034660,-13.689352,0.234660,25.000000
1.522000,-0.800000,-1.129773,-5.895804,0.329773,18.221701
1.532000,-0.800000,-1.156520,-1.050477,0.356520,7.838103
1.542000,-0.800000,-1.153329,0.996970,0.353329,3.075351
1.552000,-0.800000,-1.138413,1.700744,0.338413,1.231937
1.562000,-0.800000,-1.120610,1.776345,0.320610,0.834458
1.572000,-0.800000,-1.104035,1.556030,0.304035,1.095440
1.582000,-0.800000,-1.090281,1.252724,0.290281,1.533447
1.592000,-0.800000,-1.079524,0.963297,0.279524,1.917848
1.602000,-0.800000,-1.071376,0.727809,0.271376,2.264846
1.612000,-0.800000,-1.065098,0.566920,0.265098,2.456333
1.622000,-0.800000,-1.060212,0.438460,0.260212,2.602801
1.632000,-0.800000,-1.054148,0.527455,0.254148,2.183749
1.642000,-0.800000,-1.050334,0.297706,0.250334,2.589248
1.652000,-0.800000,-1.047924,0.227855,0.247924,2.696671
1.662000,-0.800000,-1.045992,0.189263,0.245992,2.725412
1.672000,-0.800000,-1.044576,0.092633,0.244576,2.845126
1.682000,-0.800000,-1.044216,-0.003236,0.244216,3.011516
